year,state,district,black_turnout,black_share,black_candidate
2008,AK,0,0.709726712,0.035023115,0
2010,AK,0,0.448496796,0.032340459,0
2010,AK,1,0.448496796,0.032340459,0
2008,AK,1,0.709726712,0.035023115,0
2006,AK,1,0.439429465,0.031784871,0
2010,AL,0,0.397472788,0.256073687,0
2008,AL,0,0.62553939,0.252987358,1
2010,AL,1,0.374314287,0.261221335,0
2006,AL,1,0.266087278,0.261221335,0
2008,AL,1,0.620053624,0.261221335,0
2010,AL,2,0.381727228,0.294783836,0
2008,AL,2,0.576660577,0.293965615,0
2006,AL,2,0.266649717,0.294783836,0
2010,AL,3,0.373846386,0.308788378,0
2006,AL,3,0.284691804,0.308430401,0
2008,AL,3,0.564202481,0.316352577,0
2006,AL,4,0.279709242,0.049961712,0
2010,AL,4,0.359460021,0.049961712,0
2008,AL,4,0.555389408,0.049961712,0
2006,AL,5,0.291851673,0.165979228,0
2008,AL,5,0.626272483,0.17631314,0
2010,AL,5,0.396213702,0.172851612,0
2006,AL,6,0.283270755,0.10682076,0
2008,AL,6,0.640801001,0.10682076,0
2010,AL,6,0.413694201,0.10682076,0
2008,AL,7,0.619576019,0.617318354,1
2006,AL,7,0.329064458,0.61952636,1
2010,AL,7,0.417386427,0.61375402,1
2008,AR,0,0.544885782,0.147130518,0
2010,AR,0,0.328311872,0.151675775,0
2010,AR,1,0.381513049,0.148716528,0
2006,AR,1,0.356194252,0.148716528,0
2006,AR,2,0.317646468,0.192816701,0
2010,AR,2,0.308252708,0.203997412,1
2008,AR,2,0.548806962,0.194165196,0
2008,AR,3,0.357896323,0.023851928,0
2010,AR,3,0.207805907,0.023851928,0
2006,AR,3,0.199593128,0.023851928,0
2006,AR,4,0.324615196,0.234240908,0
2010,AR,4,0.336093785,0.234240908,0
2008,AR,4,0.503415623,0.234240908,0
2006,AZ,0,0.281401289,0.033890031,0
2010,AZ,0,0.244540829,0.040346109,0
2010,AZ,1,0.522813895,0.017242448,0
2006,AZ,1,0.581618208,0.017242448,0
2008,AZ,1,0.722748557,0.017242448,0
2010,AZ,2,0.281484465,0.028621749,0
2008,AZ,2,0.513794641,0.029204947,0
2006,AZ,2,0.262859411,0.028110926,0
2010,AZ,3,0.234647746,0.033242188,0
2006,AZ,3,0.223589102,0.030125628,0
2008,AZ,3,0.407160699,0.034828107,0
2006,AZ,4,0.204024003,0.109519315,0
2010,AZ,4,0.175451791,0.131603231,0
2008,AZ,4,0.476851994,0.100957959,0
2006,AZ,5,0.227076849,0.035153053,0
2008,AZ,5,0.511371798,0.035153053,0
2010,AZ,5,0.272324635,0.035153053,0
2006,AZ,6,0.335011379,0.024226841,0
2008,AZ,6,0.610292398,0.027109207,0
2010,AZ,6,0.232250502,0.036750826,0
2008,AZ,7,0.438132296,0.03883771,0
2006,AZ,7,0.211986056,0.043424155,0
2010,AZ,7,0.239412007,0.037572466,0
2008,AZ,8,0.44358041,0.032043771,0
2006,AZ,8,0.306448353,0.027920759,0
2010,AZ,8,0.288749527,0.032909708,0
2010,CA,0,0.370050257,0.070940299,0
2006,CA,0,0.310972919,0.071464899,0
2010,CA,1,0.374533889,0.018837753,0
2006,CA,1,0.324851941,0.018837753,0
2008,CA,1,0.492679503,0.020802997,0
2006,CA,2,0.332097372,0.01259477,0
2010,CA,2,0.399322908,0.01259477,0
2008,CA,2,0.592132839,0.01259477,0
2010,CA,3,0.376639174,0.06380848,0
2008,CA,3,0.563223344,0.060220842,0
2006,CA,3,0.333507511,0.058042552,0
2010,CA,4,0.312600598,0.015679304,0
2006,CA,4,0.269602207,0.015679304,0
2008,CA,4,0.427684525,0.015679304,0
2010,CA,5,0.383755268,0.145286426,0
2008,CA,5,0.625166039,0.148996114,0
2006,CA,5,0.332386593,0.153880729,0
2010,CA,6,0.39111991,0.023260403,0
2006,CA,6,0.411120561,0.021451035,0
2008,CA,6,0.571307858,0.02359914,0
