"date","active.calories","steps","weight","steps.lag","calorie.lag"
2015-08-09,480,17.48,168,NA,NA
2015-08-10,995.9,18.41,169.1,17.48,480
2015-08-11,1126.9,19.59,168,18.41,995.9
2015-08-12,522.2,10.4,167.2,19.59,1126.9
2015-08-13,843.8,18.7,168.2,10.4,522.2
2015-08-14,396.3,9.14,167.8,18.7,843.8
2015-08-15,423.3,8.69,166.3,9.14,396.3
2015-08-16,958.3,13.85,168.4,8.69,423.3
2015-08-17,596.8,11.89,169,13.85,958.3
2015-08-18,1377.5,24.64,169.3,11.89,596.8
2015-08-22,1025.1,11.05,168.5,24.64,1377.5
2015-08-23,1273.1,17.12,169.1,11.05,1025.1
2015-08-24,1275,16.41,168.4,17.12,1273.1
2015-08-25,702,7.68,167.7,16.41,1275
2015-08-26,1272.9,15.63,167.8,7.68,702
2015-08-27,1040,13.32,167.9,15.63,1272.9
2015-08-28,597.4,9.29,168.1,13.32,1040
2015-08-30,460.1,7.96,169.4,9.29,597.4
2015-08-31,529.9,8.87,168,7.96,460.1
2015-09-01,1217.4,16.93,166.3,8.87,529.9
2015-09-02,1042.9,13.98,165.3,16.93,1217.4
2015-09-03,580.9,9.73,167.2,13.98,1042.9
2015-09-07,410.1,5.02,166.1,9.73,580.9
2015-09-08,1110.8,15.19,168.9,5.02,410.1
2015-09-09,528.2,9.19,168.2,15.19,1110.8
2015-09-10,522.6,8.6,168.7,9.19,528.2
2015-09-11,1224.8,14.94,168.3,8.6,522.6
2015-09-12,613,10.55,166.6,14.94,1224.8
2015-09-13,990.1,14.11,167.4,10.55,613
2015-09-14,911.8,13.07,167.6,14.11,990.1
2015-09-15,586.4,10.5,167.9,13.07,911.8
2015-09-16,1037.5,13.51,167,10.5,586.4
2015-09-17,579.4,10.42,166.8,13.51,1037.5
2015-09-18,501.9,8.63,167.5,10.42,579.4
2015-09-21,1042.3,14.44,169.2,8.63,501.9
2015-09-22,941.2,13.53,168.6,14.44,1042.3
2015-09-23,804.8,12.26,168.2,13.53,941.2
2015-09-24,464.9,9.49,167.6,12.26,804.8
2015-09-25,583,9.44,167.2,9.49,464.9
2015-09-26,399.2,11.47,167.6,9.44,583
2015-09-27,590.1,7.56,166.5,11.47,399.2
2015-09-28,855.2,15.59,167.1,7.56,590.1
2015-09-29,894,15.75,168.3,15.59,855.2
2015-09-30,731.2,12.72,166.5,15.75,894
2015-10-01,463.9,9.37,167.1,12.72,731.2
2015-10-02,518,9.53,166.2,9.37,463.9
2015-10-03,369.3,7.18,166.3,9.53,518
2015-10-04,808.9,13.37,166.7,7.18,369.3
2015-10-05,824.5,12.3,165.7,13.37,808.9
2015-10-06,422.1,8.07,167.5,12.3,824.5
2015-10-07,917.5,15.8,166.4,8.07,422.1
2015-10-08,531.8,9.89,167.7,15.8,917.5
2015-10-09,964.1,18.17,167.4,9.89,531.8
2015-10-10,288.5,5.51,168.3,18.17,964.1
2015-10-12,847.3,15.05,166.7,5.51,288.5
2015-10-13,413.3,8.4,166.7,15.05,847.3
2015-10-14,420.6,8.39,166.9,8.4,413.3
2015-10-15,532.3,10.04,167.6,8.39,420.6
2015-10-16,506.1,10.41,168.7,10.04,532.3
2015-10-17,750.6,18.17,168.2,10.41,506.1
2015-10-18,364.1,6.89,168.2,18.17,750.6
2015-10-19,831.5,13.33,167.3,6.89,364.1
2015-10-20,525.2,10.78,166.8,13.33,831.5
2015-10-21,487,8.84,167.9,10.78,525.2
2015-10-22,777.9,14.6,169.2,8.84,487
2015-10-23,505,10.07,168.6,14.6,777.9
2015-10-24,778,13.76,168.8,10.07,505
2015-10-25,831.3,16.2,167,13.76,778
2015-10-26,898.1,13.49,167.5,16.2,831.3
2015-10-27,568.3,10.78,166.7,13.49,898.1
2015-10-28,416.9,6.74,168,10.78,568.3
2015-10-29,543.6,10.04,167,6.74,416.9
2015-11-01,739.5,13.49,169.8,10.04,543.6
2015-11-02,984.8,15.57,168.1,13.49,739.5
2015-11-03,545.5,11.21,167.2,15.57,984.8
2015-11-04,779.7,13.26,168.1,11.21,545.5
2015-11-05,487.7,9.56,167.9,13.26,779.7
2015-11-06,535,10.63,169.2,9.56,487.7
2015-11-07,264.6,4.02,169.7,10.63,535
2015-11-08,818.7,15.29,168.9,4.02,264.6
2015-11-09,892.4,13.98,168.4,15.29,818.7
2015-11-10,518.1,10.24,167.5,13.98,892.4
2015-11-11,792.2,12.73,167.9,10.24,518.1
2015-11-12,617.1,11.4,168.8,12.73,792.2
2015-11-13,896.3,15.45,169.8,11.4,617.1
2015-11-14,817.9,13.34,169.2,15.45,896.3
2015-11-15,237.3,3.98,167.8,13.34,817.9
2015-11-16,819.9,14.15,167.6,3.98,237.3
2015-11-17,527.9,11.23,167.3,14.15,819.9
2015-11-18,801.2,14.95,167.9,11.23,527.9
2015-11-19,524.7,9.26,168.1,14.95,801.2
2015-11-21,274,4.47,167.5,9.26,524.7
2015-11-22,851.8,12.43,167.1,4.47,274
2015-11-23,541.3,10.19,165.8,12.43,851.8
2015-11-24,590.3,10.42,168.7,10.19,541.3
2015-12-01,447.3,8.14,170.5,10.42,590.3
2015-12-02,821.1,14.07,170.1,8.14,447.3
2015-12-03,449.8,8.88,169.3,14.07,821.1
2015-12-04,578.4,10.01,169.3,8.88,449.8
2015-12-06,426.9,9.23,168.5,10.01,578.4
2015-12-07,711,11.16,168.5,9.23,426.9
2015-12-08,474.1,8.54,169.5,11.16,711
2015-12-09,916.6,15.37,170,8.54,474.1
2015-12-11,258.7,5.36,166.5,15.37,916.6
2015-12-12,728.1,14.67,167.4,5.36,258.7
2015-12-13,223,3.47,168.8,14.67,728.1
2015-12-14,773.5,13.23,169.7,3.47,223
2015-12-15,1125.6,18.67,168.5,13.23,773.5
2015-12-16,469.6,9.39,168.1,18.67,1125.6
2015-12-17,860.9,14.95,167.9,9.39,469.6
2015-12-18,470.7,8.16,167.8,14.95,860.9
2015-12-19,291.8,5.9,168.9,8.16,470.7
2015-12-20,840.4,16.06,166.6,5.9,291.8
2015-12-21,986.9,18.87,168.5,16.06,840.4
2015-12-22,285.1,5.75,169.2,18.87,986.9
2015-12-23,968.2,17.1,167.9,5.75,285.1
2015-12-24,470.4,10.93,168.4,17.1,968.2
2015-12-26,314,5.19,170.7,10.93,470.4
2015-12-28,429.5,8.94,170.1,5.19,314
2015-12-29,376.6,4.3,169.4,8.94,429.5
2015-12-30,191.8,3.07,169.1,4.3,376.6
2016-01-12,1130,21.11,174.7,3.07,191.8
2016-01-13,854.1,13.13,171.7,21.11,1130
2016-01-14,884.9,15.51,170.6,13.13,854.1
2016-01-15,830.9,13.91,170,15.51,884.9
2016-01-16,448.1,11.51,170.6,13.91,830.9
2016-01-17,915.8,16.23,172.6,11.51,448.1
2016-01-18,945.5,15.3,172.2,16.23,915.8
2016-01-19,1033.3,15.94,171,15.3,945.5
2016-01-21,492.4,9.49,170.2,15.94,1033.3
2016-01-22,809,14.04,170.5,9.49,492.4
2016-01-23,850.4,13.46,171,14.04,809
2016-01-27,314.5,4.95,171.7,13.46,850.4
2016-01-29,474.6,8.26,171.2,4.95,314.5
2016-01-30,274.4,3.85,170.5,8.26,474.6
2016-01-31,786.2,12.17,169.9,3.85,274.4
2016-02-01,673.3,12.99,170.8,12.17,786.2
2016-02-02,258.7,4.36,169.8,12.99,673.3
2016-02-04,627,11.81,170.1,4.36,258.7
2016-02-05,245,2.45,171.7,11.81,627
2016-02-06,827,13.56,169.5,2.45,245
2016-02-07,472.1,9.58,170.5,13.56,827
2016-02-08,903.4,14.7,171.4,9.58,472.1
2016-02-09,843.4,14.05,171.6,14.7,903.4
2016-02-10,983.3,16.93,171,14.05,843.4
2016-02-11,868,12.92,172.5,16.93,983.3
2016-02-12,462.6,6.42,171.9,12.92,868
2016-02-13,297.2,4.86,170.5,6.42,462.6
2016-02-14,264.1,5.42,172.1,4.86,297.2
2016-02-15,891.7,13.08,171.2,5.42,264.1
2016-02-16,956.4,14.6,171,13.08,891.7
2016-02-17,900,14.01,170.7,14.6,956.4
2016-02-18,487.9,8.31,170.6,14.01,900
2016-02-19,577.8,8.4,170.9,8.31,487.9
2016-02-21,853.5,14.83,170.9,8.4,577.8
2016-02-22,1018.1,16.63,172.1,14.83,853.5
2016-02-23,859.8,14.63,170.6,16.63,1018.1
2016-02-24,535.9,8.5,171.2,14.63,859.8
2016-02-25,908.1,14.33,170.7,8.5,535.9
2016-02-26,858.9,14.65,170.2,14.33,908.1
2016-02-27,370.1,7.45,170,14.65,858.9
2016-02-28,464.1,7.56,170.4,7.45,370.1
2016-02-29,544.7,9.89,170.3,7.56,464.1
2016-03-01,908.7,16.55,170.2,9.89,544.7
2016-03-02,865.4,13.16,170.9,16.55,908.7
2016-03-03,882.8,15.08,170.7,13.16,865.4
2016-03-04,930.7,15.02,169.7,15.08,882.8
2016-03-05,387.9,8.66,169.4,15.02,930.7
2016-03-06,255.6,3.57,170.7,8.66,387.9
2016-03-07,984,16.07,170.3,3.57,255.6
2016-03-08,515.5,8.64,172,16.07,984
2016-03-09,832.8,14.14,171,8.64,515.5
2016-03-10,869.7,13.61,169.8,14.14,832.8
2016-03-11,832.8,14.57,170.3,13.61,869.7
2016-03-12,438.2,9.21,170.4,14.57,832.8
2016-03-21,930.1,16.65,172.3,9.21,438.2
2016-03-22,876.5,14.41,172.3,16.65,930.1
2016-03-23,854.7,14.71,172.2,14.41,876.5
2016-03-24,895.8,14.46,171.3,14.71,854.7
2016-03-25,499.3,9.02,171.9,14.46,895.8
2016-03-26,588.4,11.77,173.1,9.02,499.3
2016-03-27,767.5,14,171,11.77,588.4
2016-03-29,999.7,18.04,172.4,14,767.5
2016-03-30,1069.4,19.1,172.8,18.04,999.7
2016-03-31,646.5,11.36,171.8,19.1,1069.4
2016-04-01,1003.4,18.48,172.8,11.36,646.5
2016-04-02,673.2,13.39,172.2,18.48,1003.4
2016-04-04,957.3,16.59,170.9,13.39,673.2
2016-04-05,911.7,17.07,171.5,16.59,957.3
2016-04-06,976.8,16,173.4,17.07,911.7
2016-04-13,874.8,15.03,172.1,16,976.8
2016-04-14,846.6,14.84,172,15.03,874.8
2016-04-15,869.5,15.02,170.2,14.84,846.6
2016-04-16,432.8,6.63,169.6,15.02,869.5
2016-04-17,642.1,15.64,169.9,6.63,432.8
2016-04-18,963.8,16.85,169,15.64,642.1
2016-04-19,855.1,15.72,169,16.85,963.8
2016-04-20,569.3,6.18,169.1,15.72,855.1
2016-04-25,584.1,11.57,170.8,6.18,569.3
2016-04-26,874.2,13.62,170.3,11.57,584.1
2016-04-27,844.1,13.95,168.7,13.62,874.2
2016-04-28,387.7,6.01,170.2,13.95,844.1
2016-05-01,282.9,5.04,170.4,6.01,387.7
2016-05-02,627.1,11.79,170.1,5.04,282.9
2016-05-03,822,14.89,170.5,11.79,627.1
2016-05-04,850.5,14.45,170.1,14.89,822
2016-05-05,1057.7,20.05,170.1,14.45,850.5
2016-05-06,627.5,12.08,170.8,20.05,1057.7
2016-05-07,348.7,5.84,172.1,12.08,627.5
2016-05-08,458.1,10.62,169,5.84,348.7
2016-05-09,560.1,10.39,169.7,10.62,458.1
2016-05-10,851.9,14.93,169.3,10.39,560.1
2016-05-11,442,8.36,170.5,14.93,851.9
2016-05-12,1034.3,19.84,170.3,8.36,442
2016-05-13,828.8,16.99,171.1,19.84,1034.3
2016-05-14,473.3,11.57,170,16.99,828.8
2016-05-15,520.2,10.32,170.1,11.57,473.3
2016-05-16,654.8,11.93,170.3,10.32,520.2
2016-05-17,658.6,9.56,170.1,11.93,654.8
2016-05-18,916.6,16.52,169,9.56,658.6
2016-05-19,924.8,17.78,169.8,16.52,916.6
2016-05-20,1065.8,19.14,170.9,17.78,924.8
2016-05-23,930.2,16.98,173.4,19.14,1065.8
2016-05-24,589.9,11.39,172.1,16.98,930.2
2016-05-25,707.5,11.44,170.7,11.39,589.9
2016-05-28,446.5,10.43,170.1,11.44,707.5
2016-05-29,589,13.79,170.6,10.43,446.5
2016-05-30,738.6,13.28,170.8,13.79,589
2016-05-31,1022.8,18.3,171.8,13.28,738.6
2016-06-01,718.5,14.41,171.5,18.3,1022.8
2016-06-02,920.3,16.77,171.7,14.41,718.5
2016-06-03,829.1,15.85,172.1,16.77,920.3
2016-06-04,295.6,8.53,171.7,15.85,829.1
2016-06-05,296.6,5.69,170.9,8.53,295.6
2016-06-06,851.5,15.57,170.3,5.69,296.6
2016-06-07,827.8,14.88,169.7,15.57,851.5
2016-06-08,488,10.48,170.2,14.88,827.8
2016-06-09,998.5,18.13,169.9,10.48,488
2016-06-10,433.2,9.86,169.9,18.13,998.5
2016-06-11,407.3,9.05,169.3,9.86,433.2
2016-06-12,523.3,11.61,168.6,9.05,407.3
2016-06-13,815.1,14,168.8,11.61,523.3
2016-06-14,1242.9,21.86,168.3,14,815.1
2016-06-15,351.1,7.22,168.8,21.86,1242.9
2016-06-16,881,17.26,170.7,7.22,351.1
2016-06-17,390.7,9.31,171.3,17.26,881
2016-06-18,483,12.2,169.1,9.31,390.7
2016-06-19,894.4,17.43,168.8,12.2,483
2016-06-20,880.7,15.99,167.9,17.43,894.4
2016-06-21,636.6,17.13,169.1,15.99,880.7
2016-06-22,332.3,5.84,169.5,17.13,636.6
2016-06-26,212.3,4.93,172,5.84,332.3
2016-06-27,351.6,7.21,168.6,4.93,212.3
2016-06-28,314.6,7.26,167,7.21,351.6
2016-06-29,347.7,8.58,166,7.26,314.6
2016-06-30,293.7,8.18,166.9,8.58,347.7
2016-07-01,377.7,9.43,166.8,8.18,293.7
2016-07-02,304.7,8.38,168.1,9.43,377.7
2016-07-03,286.4,7.07,167.4,8.38,304.7
2016-07-04,286.2,6.4,167,7.07,286.4
2016-07-05,264.9,6.95,171.4,6.4,286.2
2016-07-06,429.9,10.44,167.7,6.95,264.9
2016-07-07,345.5,9.13,168.4,10.44,429.9
2016-07-08,295.2,7.32,171.9,9.13,345.5
2016-07-09,342.5,8.03,171.2,7.32,295.2
2016-07-10,263.6,6.25,176.1,8.03,342.5
2016-07-11,354.1,9.66,166.7,6.25,263.6
2016-07-12,426.9,11.46,166.9,9.66,354.1
2016-07-13,580.7,12.22,168.8,11.46,426.9
2016-07-14,361.9,8.25,168.7,12.22,580.7
2016-07-15,251.3,5.52,168,8.25,361.9
2016-07-16,409.3,10.51,167.8,5.52,251.3
2016-07-17,351.3,9.7,167.8,10.51,409.3
2016-07-18,336,8.6,168.1,9.7,351.3
2016-07-19,641.7,13.85,168.4,8.6,336
2016-07-20,556.5,16.41,168.5,13.85,641.7
2016-07-21,250.6,4.96,169.3,16.41,556.5
2016-07-22,766.2,14.75,167.3,4.96,250.6
2016-07-23,334.5,7.75,168.7,14.75,766.2
2016-07-24,413.5,11.51,171.1,7.75,334.5
2016-07-25,791.5,15.87,170.1,11.51,413.5
2016-07-26,362.4,8.91,170,15.87,791.5
2016-07-27,684.9,14.35,170.4,8.91,362.4
2016-07-28,330.1,9.2,170.4,14.35,684.9
2016-07-29,265.3,5.74,168.5,9.2,330.1
2016-07-30,322.2,5.7,170.1,5.74,265.3
2016-07-31,353.2,8.17,170.5,5.7,322.2
2016-08-01,513.4,11.71,169.9,8.17,353.2
2016-08-02,295.3,5.94,170,11.71,513.4
2016-08-03,355.7,7.23,172.1,5.94,295.3
2016-08-04,839.8,17.73,170,7.23,355.7
2016-08-05,472.9,11.85,168.6,17.73,839.8
2016-08-06,618.9,16.3,173.1,11.85,472.9
2016-08-07,694.8,17.62,171.4,16.3,618.9
2016-08-08,405.6,10.13,171.9,17.62,694.8
2016-08-09,791.3,14.81,171.7,10.13,405.6
2016-08-10,808.9,14.55,171,14.81,791.3
2016-08-11,230,4.29,171.7,14.55,808.9
2016-08-12,708.7,12.18,172.4,4.29,230
2016-08-13,494.7,12.38,171.7,12.18,708.7
2016-08-14,653.1,12.19,171.1,12.38,494.7
2016-08-15,844,16.25,173,12.19,653.1
2016-08-16,283.8,6.42,173.2,16.25,844
2016-08-17,756.8,15.69,173.6,6.42,283.8
2016-08-18,457.8,11.61,172.6,15.69,756.8
2016-08-19,870,15.87,172.5,11.61,457.8
2016-08-20,356.2,8.06,169.3,15.87,870
2016-08-21,782.4,20.4,172.3,8.06,356.2
2016-08-22,835.3,16.36,170.2,20.4,782.4
2016-08-23,776.6,15.38,171,16.36,835.3
2016-08-24,380.2,8.84,170.9,15.38,776.6
2016-08-25,815.5,15.26,170.1,8.84,380.2
2016-08-26,645.3,15.97,169.5,15.26,815.5
2016-08-27,673.3,18.51,170.5,15.97,645.3
2016-08-28,443.7,10.43,170.3,18.51,673.3
2016-08-29,477.8,11.67,171.2,10.43,443.7
2016-08-30,744.7,15.51,171.7,11.67,477.8
2016-08-31,383.8,10.09,171.2,15.51,744.7
2016-09-01,714.7,13.67,172.4,10.09,383.8
2016-09-02,545.5,15.72,171.3,13.67,714.7
2016-09-03,527.6,12.58,173.3,15.72,545.5
2016-09-04,434.6,11.49,172.3,12.58,527.6
2016-09-05,773.5,15.04,171.8,11.49,434.6
2016-09-06,466,10.9,171.9,15.04,773.5
2016-09-07,484.6,10.5,172.3,10.9,466
2016-09-08,390.9,8.98,171.6,10.5,484.6
2016-09-09,515.5,13.07,171,8.98,390.9
2016-09-10,288.2,6.45,169.7,13.07,515.5
2016-09-11,379.2,9.02,171.4,6.45,288.2
2016-09-12,1015.1,20.93,171.6,9.02,379.2
2016-09-13,511.3,12.92,171.8,20.93,1015.1
2016-09-14,397.1,8.99,171.4,12.92,511.3
2016-09-15,537.6,10.82,170.7,8.99,397.1
2016-09-18,541.2,12.76,171.5,10.82,537.6
2016-09-19,439.9,10.79,171.1,12.76,541.2
2016-09-20,610.8,13.66,170,10.79,439.9
2016-09-21,521.6,10.83,171.1,13.66,610.8
2016-09-22,894.4,16.85,171.7,10.83,521.6
2016-09-23,532.6,13.67,172.5,16.85,894.4
2016-09-24,547.3,12.59,171,13.67,532.6
2016-09-25,891.2,19.94,170.9,12.59,547.3
2016-09-26,1170,20.44,171.4,19.94,891.2
2016-09-27,579.2,14.26,170.1,20.44,1170
2016-09-28,526.2,10.28,172,14.26,579.2
2016-09-29,670,12.64,173.8,10.28,526.2
2016-09-30,705.9,15.41,172.5,12.64,670
2016-10-01,841.2,15.41,171.8,15.41,705.9
2016-10-02,1079.5,15.11,171.7,15.41,841.2
2016-10-03,577.5,11.63,170.8,15.11,1079.5
2016-10-04,635.1,13.44,172,11.63,577.5
2016-10-05,560.5,11.36,172.3,13.44,635.1
2016-10-06,427.9,6.1,171.9,11.36,560.5
2016-10-10,560,11.86,169.9,6.1,427.9
2016-10-11,569.1,10.94,171.8,11.86,560
2016-10-12,492,9.73,171.7,10.94,569.1
2016-10-13,669.2,14.85,172,9.73,492
2016-10-14,598.6,11.65,172.3,14.85,669.2
2016-10-15,575.6,12.54,172.6,11.65,598.6
2016-10-16,557.4,12,170.7,12.54,575.6
2016-10-17,1244.3,17.7,170.4,12,557.4
2016-10-18,582.6,12.12,172.5,17.7,1244.3
2016-10-19,560.3,11.24,173.1,12.12,582.6
2016-10-20,735.5,14.22,171.8,11.24,560.3
2016-10-21,542.1,12.04,172.4,14.22,735.5
2016-10-22,1304.2,20.73,171.4,12.04,542.1
2016-10-23,438,8.53,172.3,20.73,1304.2
2016-10-24,694.2,13.52,171.9,8.53,438
2016-10-25,599.8,11.5,171.9,13.52,694.2
2016-10-26,510.6,9.82,171.4,11.5,599.8
2016-10-27,546.9,10.84,170.9,9.82,510.6
2016-10-28,1195.2,17.7,171.6,10.84,546.9
2016-10-29,422.4,9.23,173.3,17.7,1195.2
2016-10-30,694.5,17.54,172.2,9.23,422.4
2016-10-31,1109.8,14,172.6,17.54,694.5
2016-11-01,1218.3,17.68,172.5,14,1109.8
2016-11-02,551.2,11.74,171.5,17.68,1218.3
2016-11-03,1108.1,16.08,172,11.74,551.2
2016-11-04,577.6,10.94,172.3,16.08,1108.1
2016-11-05,396.7,7.91,169.9,10.94,577.6
2016-11-06,478.4,8.9,170.2,7.91,396.7
2016-11-07,1150,16.3,171.5,8.9,478.4
2016-11-08,798,17.48,173.9,16.3,1150
2016-11-09,632.2,13.16,173.2,17.48,798
2016-11-10,563.9,10.58,172.8,13.16,632.2
2016-11-11,1159,15.62,173.1,10.58,563.9
2016-11-12,580.1,13.81,172,15.62,1159
2016-11-13,475.6,9.78,169.6,13.81,580.1
2016-11-14,639.8,13.71,170.5,9.78,475.6
2016-11-15,635.3,12.37,172.1,13.71,639.8
2016-11-16,485.7,10.44,171.3,12.37,635.3
2016-11-19,579.8,14.03,171.4,10.44,485.7
2016-11-20,514.4,9.44,171,14.03,579.8
2016-11-21,1063.9,15.81,171.2,9.44,514.4
2016-11-22,566.7,11.18,171.9,15.81,1063.9
2016-11-23,549,10.76,171.5,11.18,566.7
2016-11-24,295,5.26,171.4,10.76,549
2016-11-25,452,9.4,172.9,5.26,295
2016-11-26,547.1,13.06,171.6,9.4,452
2016-11-27,304.4,4.97,171.5,13.06,547.1
2016-11-28,576.7,11.85,171.1,4.97,304.4
2016-11-30,530.7,9.42,171.5,11.85,576.7
2016-12-01,586.2,11.15,172.2,9.42,530.7
2016-12-02,581.9,10.15,171.5,11.15,586.2
2016-12-03,510.4,8.54,172.1,10.15,581.9
2016-12-04,560.1,11.07,171.9,8.54,510.4
2016-12-05,518.1,9.12,172.4,11.07,560.1
2016-12-07,674.5,12.27,172.6,9.12,518.1
