"chain","state","wage_before","wage_after","fulltime_before","fulltime_after"
"wendys","PA",5,5.25,0.5,0
"wendys","PA",5.5,4.75,0.1875,0.903225806451613
"burgerking","PA",5,4.75,0.588235294117647,0.454545454545455
"burgerking","PA",5,5,0.37037037037037,0.742857142857143
"kfc","PA",5.25,5,0.2,0.2
"kfc","PA",5,5,0.166666666666667,0.181818181818182
"roys","PA",5,4.75,0.111111111111111,0.0384615384615385
"burgerking","PA",5,5,0.571428571428571,0.219512195121951
"burgerking","PA",5,4.5,0.228571428571429,0.152173913043478
"burgerking","PA",5.5,4.75,0.259259259259259,0.642857142857143
"burgerking","PA",5,4.5,0.4,0.2
"kfc","PA",5.25,5,0.222222222222222,0.789473684210526
"kfc","PA",5,4.75,0.0625,0.235294117647059
"roys","PA",5,4.75,0.625,0.230769230769231
"roys","PA",5,4.75,0.606060606060606,0.25
"roys","PA",5,4.25,0.178571428571429,0.0952380952380952
"roys","PA",5,5,0.444444444444444,0.1
"roys","PA",5,4.9,0.692307692307692,0
"roys","PA",5,5,0.125,0.285714285714286
"roys","PA",5,4.75,0.4,0.5
"wendys","PA",5,5,0,0
"roys","PA",5,4.25,0.157894736842105,0.354838709677419
"roys","PA",5,4.75,0.304347826086957,0.208333333333333
"burgerking","PA",4.25,4.25,0.7,0.193548387096774
"burgerking","PA",4.25,4.25,0.333333333333333,0.21875
"burgerking","PA",4.25,4.25,0,0
"burgerking","PA",4.5,4.25,0.80952380952381,0
"burgerking","PA",4.25,4.25,0,0.478260869565217
"burgerking","PA",4.5,4.25,0.625,0
"burgerking","PA",4.25,4.38,0.230769230769231,0.230769230769231
"kfc","PA",4.5,4.75,0.375,0.166666666666667
"kfc","PA",4.25,4.25,0,0.285714285714286
"wendys","PA",4.67,4.5,0.75,0.28
"wendys","PA",4.75,4.5,0.242424242424242,0
"wendys","PA",4.25,4.25,0,0
"wendys","PA",4.25,4.25,0.333333333333333,0.333333333333333
"kfc","PA",4.75,4.25,0.142857142857143,0.0666666666666667
"burgerking","PA",4.25,4.25,0.444444444444444,0
"burgerking","PA",4.5,5.05,0.266666666666667,0.714285714285714
"burgerking","PA",4.25,4.25,0.230769230769231,0.395833333333333
"burgerking","PA",4.25,4.25,0.025974025974026,0
"kfc","PA",4.25,4.25,0,0.181818181818182
"wendys","PA",4.25,4.25,0.75,0
"wendys","PA",4.25,4.35,0.173913043478261,0.2
"wendys","PA",4.25,4.5,0.375,0.222222222222222
"burgerking","PA",4.75,4.5,0.307692307692308,0.228571428571429
"burgerking","PA",4.87,5,0,0.5
"burgerking","PA",4.75,4.75,0.0869565217391304,0.774647887323944
"kfc","PA",4.5,5,0.1,0
"roys","PA",4.25,4.35,0.2,0
"burgerking","PA",4.25,4.25,0.555555555555556,0.342857142857143
"burgerking","PA",4.25,4.9,0.949367088607595,0.242424242424242
"burgerking","PA",4.75,4.5,0.15625,0.634146341463415
"burgerking","PA",4.5,4.5,0.757575757575758,0.384615384615385
"burgerking","PA",4.25,4.75,0.166666666666667,0.142857142857143
"burgerking","PA",4.25,6.25,0.222222222222222,0.230769230769231
"burgerking","PA",4.5,4.35,0.56140350877193,0.210526315789474
"kfc","PA",4.5,4.5,0.1,0.25
"roys","PA",4.5,4.5,0.111111111111111,0.210526315789474
"wendys","PA",4.75,5,0.666666666666667,0.792452830188679
"burgerking","PA",4.25,4.75,0.482758620689655,0.666666666666667
"burgerking","PA",4.75,4.5,0.348837209302326,0.843373493975904
"roys","PA",4.75,4.75,0.2,0.1875
"roys","PA",4.5,4.25,0.2,0.58974358974359
"roys","PA",4.75,4.91,0.210526315789474,0.142857142857143
"burgerking","PA",4.25,4.4,0.111111111111111,0
"burgerking","PA",4.35,4.25,0.0625,0.115384615384615
"roys","NJ",5,5.05,0.5,0.714285714285714
"kfc","NJ",5.12,5.05,0.555555555555556,0.19047619047619
"burgerking","NJ",5.56,5.05,0.666666666666667,0.333333333333333
"kfc","NJ",5,5.05,0.285714285714286,0
"kfc","NJ",5,5.05,0.6,0.571428571428571
"kfc","NJ",5.25,5.05,0.2,0.285714285714286
"roys","NJ",5,5.05,0.375,0.352941176470588
"wendys","NJ",5.5,5.05,0.4,0.222222222222222
"roys","NJ",5,5.05,0.107142857142857,0.0625
"roys","NJ",5,5.05,0.565217391304348,0.454545454545455
"wendys","NJ",5,5.05,0.657894736842105,0
"wendys","NJ",5,5.05,0.355555555555556,0.757575757575758
"burgerking","NJ",5.5,5.05,0.259259259259259,0
"burgerking","NJ",5,5.5,0.625,0.193548387096774
"kfc","NJ",5,5.05,0,0.0909090909090909
"wendys","NJ",5,5.05,0.133333333333333,0.166666666666667
"kfc","NJ",5,5.05,0.464285714285714,0.157894736842105
"roys","NJ",5.25,5.05,0.5,0.28
"roys","NJ",5.5,5.05,0.375,0.266666666666667
"wendys","NJ",5.05,5.05,0.25,0.0975609756097561
"burgerking","NJ",5,5.28,0.227272727272727,0.555555555555556
"burgerking","NJ",5.12,5.25,0.566666666666667,1
"burgerking","NJ",5.25,5.05,0.130434782608696,0.2
"burgerking","NJ",5.12,5.05,0.7,0.470588235294118
"kfc","NJ",5,5.5,0.666666666666667,0.6
"roys","NJ",5,5.05,0.242424242424242,0.684210526315789
"roys","NJ",5,5.05,0.4,0.0434782608695652
"roys","NJ",5,5.05,0.117647058823529,0.25
"wendys","NJ",5,5.05,0.666666666666667,0.37037037037037
"burgerking","NJ",5,5.05,0.266666666666667,0.769230769230769
"burgerking","NJ",5,5.05,0.333333333333333,0.5
"roys","NJ",5.62,5.05,0.166666666666667,0.222222222222222
"roys","NJ",5,5.05,0.106382978723404,0.189189189189189
"wendys","NJ",5,5.05,0.296296296296296,0
"burgerking","NJ",5,5.05,0.696969696969697,0.192307692307692
"burgerking","NJ",5,5.05,0,0.714285714285714
"roys","NJ",5.1,5.05,0.3,0.5
"roys","NJ",5.25,5.05,0.714285714285714,0.545454545454545
"roys","NJ",5.5,5.05,0.652173913043478,0.4
"burgerking","NJ",5,5.05,0.52,0.5
"burgerking","NJ",5,5.05,0.357142857142857,0
"kfc","NJ",5,5.05,0,0
"kfc","NJ",5.05,5.25,0.266666666666667,0.125
"kfc","NJ",5.5,5.05,0,0.3
"kfc","NJ",5,5.05,0.333333333333333,0.25
"burgerking","NJ",5.3,5.05,0.238095238095238,0.307692307692308
"kfc","NJ",5,5.05,0.272727272727273,0.333333333333333
"kfc","NJ",5,5.05,0.4,0.222222222222222
"kfc","NJ",5,5.05,0.357142857142857,0.4
"kfc","NJ",5,5.05,0.176470588235294,0.266666666666667
"roys","NJ",5.25,5.05,0.303030303030303,0.360655737704918
"roys","NJ",5.15,5.05,0.285714285714286,0
"wendys","NJ",5.42,5.67,0.2,0.130434782608696
"burgerking","NJ",5,5.05,0.5,0
"roys","NJ",5,5.05,0.0847457627118644,0
"wendys","NJ",5.06,5.05,0.666666666666667,0.5625
"wendys","NJ",5.05,5.05,0.534883720930233,0
"wendys","NJ",5,5.25,0.183673469387755,0.777777777777778
"burgerking","NJ",5,5.25,0.342857142857143,0.333333333333333
"burgerking","NJ",5,5.05,0.538461538461538,0.545454545454545
"burgerking","NJ",5.25,5.5,0.714285714285714,0
"burgerking","NJ",5,5.05,0.555555555555556,0.571428571428571
"burgerking","NJ",5,5.05,0.333333333333333,0.5
"roys","NJ",5.05,5.05,0.295454545454545,0.323529411764706
"wendys","NJ",5,5.5,0.25531914893617,0.435897435897436
"wendys","NJ",5.75,5.5,0.333333333333333,0.533333333333333
"burgerking","NJ",5,5.05,0.0476190476190476,0
"burgerking","NJ",4.5,5.05,0.347826086956522,0.333333333333333
"burgerking","NJ",4.75,5.25,0.625,0.428571428571429
"kfc","NJ",4.25,5.05,0.315789473684211,0.363636363636364
"roys","NJ",4.75,5.05,0.454545454545455,0.142857142857143
"roys","NJ",4.5,5.15,0.142857142857143,0.25
"burgerking","NJ",4.37,5.05,0.230769230769231,0
"burgerking","NJ",4.25,5.05,0.428571428571429,0.5
"burgerking","NJ",4.25,5.05,0.25,0.333333333333333
"burgerking","NJ",4.37,5.05,0.216666666666667,0.5
"kfc","NJ",4.5,5,0,0.153846153846154
"roys","NJ",4.6,5.05,0.107142857142857,0.2
"roys","NJ",4.5,5.05,0.214285714285714,0.291666666666667
"roys","NJ",4.37,5.05,0,0.102564102564103
"roys","NJ",4.25,5.05,0.375,0.173913043478261
"burgerking","NJ",4.25,5.05,0.114285714285714,0.12
"kfc","NJ",4.45,5.05,0.294117647058824,0
"roys","NJ",4.35,5.05,0.166666666666667,0.166666666666667
"burgerking","NJ",4.5,5.05,0,0.5
"burgerking","NJ",4.75,5.05,0.5,0.428571428571429
"kfc","NJ",4.5,5.05,0,0
"roys","NJ",4.5,5.05,0.327868852459016,0.0740740740740741
"roys","NJ",4.95,5.05,0.25,0.611111111111111
"wendys","NJ",4.5,5.05,0.793650793650794,0.419354838709677
"burgerking","NJ",4.25,5.05,0.428571428571429,0.333333333333333
"burgerking","NJ",4.25,5.05,0.8125,0.6
"burgerking","NJ",4.5,5.05,0.571428571428571,0.5
"burgerking","NJ",4.25,5.05,0.454545454545455,0.722222222222222
"burgerking","NJ",4.5,5.05,0.25,0.186046511627907
"burgerking","NJ",4.25,5.05,0.75,0.433333333333333
"burgerking","NJ",4.25,5.05,0,0
"burgerking","NJ",4.5,5.05,0.636363636363636,0.25
"burgerking","NJ",4.75,5.05,0,0.674418604651163
"kfc","NJ",4.25,5.05,0,1
"kfc","NJ",4.25,5.05,0.166666666666667,0.266666666666667
"roys","NJ",4.25,5.05,0.2,0.625
"roys","NJ",4.5,5.05,0.193548387096774,0.307692307692308
"wendys","NJ",4.25,5.05,0.183673469387755,0.44
"burgerking","NJ",4.5,5.05,0.117647058823529,0.285714285714286
"burgerking","NJ",4.25,5.05,0.5,0.428571428571429
"burgerking","NJ",4.5,5.05,0,0
"burgerking","NJ",4.25,5.05,0.0789473684210526,0.0975609756097561
"burgerking","NJ",4.25,5.05,0.266666666666667,0
"burgerking","NJ",4.25,5.05,0.181818181818182,0.7
"burgerking","NJ",4.25,5.05,0.0769230769230769,0.166666666666667
"kfc","NJ",4.25,5.05,0.857142857142857,0
"kfc","NJ",4.25,5.05,0,0
"kfc","NJ",4.25,5.05,0,0.185185185185185
"kfc","NJ",4.25,5.05,0,0.1875
"roys","NJ",4.75,5.05,0.6,0.375
"roys","NJ",4.75,5.05,0.230769230769231,0.454545454545455
"roys","NJ",4.4,5.05,0.48,0
"wendys","NJ",4.62,5.05,0.666666666666667,0.523809523809524
"burgerking","NJ",4.25,5.05,0,0
"burgerking","NJ",4.25,5.05,0,0.0740740740740741
"burgerking","NJ",4.25,5.05,0.352941176470588,0.574468085106383
"burgerking","NJ",4.25,5.05,0.473684210526316,0.314285714285714
"roys","NJ",4.25,5.05,0.548387096774194,0.579710144927536
"burgerking","NJ",4.75,5.25,0,0.333333333333333
"burgerking","NJ",4.75,5.05,0.444444444444444,0.285714285714286
"burgerking","NJ",4.25,5.05,0.150943396226415,0.647058823529412
"burgerking","NJ",4.25,5.05,0.4,0.473684210526316
"burgerking","NJ",4.75,5.05,0.387096774193548,0.580645161290323
"burgerking","NJ",4.5,5.05,0,0
"burgerking","NJ",4.25,5.05,0.0256410256410256,0.166666666666667
"burgerking","NJ",4.25,5.05,0.444444444444444,0.777777777777778
"kfc","NJ",4.5,5.05,1,0
"roys","NJ",4.5,5.05,0.215384615384615,0.05
"roys","NJ",4.5,5.5,0.5,0.428571428571429
"roys","NJ",4.75,5.05,0.272727272727273,0.130434782608696
"roys","NJ",4.62,5.05,0.180327868852459,0.17910447761194
"roys","NJ",4.25,5.05,0.375,0.285714285714286
"wendys","NJ",4.5,5.67,0,0.125
"wendys","NJ",4.75,5.05,0.4,0.285714285714286
"wendys","NJ",4.25,5.05,0.3,0.563380281690141
"burgerking","NJ",4.8,5.05,0.285714285714286,0
"burgerking","NJ",4.5,5.05,0,0.444444444444444
"burgerking","NJ",4.67,5.75,0,0.375
"burgerking","NJ",4.87,5.05,0.347826086956522,0.1
"kfc","NJ",4.5,5.05,0.222222222222222,0.428571428571429
"kfc","NJ",4.5,5.25,0.333333333333333,0.666666666666667
"roys","NJ",4.75,5.05,0,0.0909090909090909
"wendys","NJ",4.75,5.05,0.2,0
"burgerking","NJ",4.25,5.25,0.2,0
"burgerking","NJ",4.25,5.05,0.0588235294117647,0.444444444444444
"burgerking","NJ",4.75,5.05,0,0.233333333333333
"burgerking","NJ",4.85,5.05,0.130434782608696,0.268292682926829
"burgerking","NJ",4.75,5.05,0.354838709677419,0.5
"burgerking","NJ",4.62,5.05,0.416666666666667,0.421052631578947
"kfc","NJ",4.25,5.05,0.52,0.0909090909090909
"kfc","NJ",4.25,5.05,0.142857142857143,0.166666666666667
"kfc","NJ",4.5,5.05,0.727272727272727,0
"kfc","NJ",4.5,5.05,0.166666666666667,0
"kfc","NJ",4.62,5.05,0.75,0.6
"kfc","NJ",4.5,5.05,0.181818181818182,0.25
"roys","NJ",4.75,5.05,0.333333333333333,0.4
"roys","NJ",4.75,5.05,0.210526315789474,0
"wendys","NJ",4.87,5.25,0.666666666666667,0.130434782608696
"wendys","NJ",4.5,5.05,0.0714285714285714,0.307692307692308
"wendys","NJ",4.25,5.05,0,0.242424242424242
"kfc","NJ",4.35,5.05,0,0.785714285714286
"burgerking","NJ",4.25,5.05,0,0.111111111111111
"burgerking","NJ",4.5,5.05,0,0.421052631578947
"burgerking","NJ",4.25,5.05,0.681818181818182,0.541666666666667
"burgerking","NJ",4.25,5.05,0.428571428571429,0.105263157894737
"burgerking","NJ",4.25,5.05,0.540540540540541,0.470588235294118
"kfc","NJ",4.75,5.2,0.444444444444444,0.586206896551724
"roys","NJ",4.62,5.05,0.272727272727273,0.135135135135135
"roys","NJ",4.25,5.05,0.1,0.13953488372093
"wendys","NJ",4.5,5.05,0,0
"burgerking","NJ",4.5,5.05,0.0967741935483871,0.0540540540540541
"burgerking","NJ",4.5,5.05,0.385964912280702,0.571428571428571
"burgerking","NJ",4.55,5.05,0.183673469387755,0.406779661016949
"burgerking","NJ",4.62,5.05,0.0625,0
"burgerking","NJ",4.5,5.05,0.5,0.666666666666667
"kfc","NJ",4.25,5.05,0.153846153846154,0.1
"kfc","NJ",4.25,5.05,0.133333333333333,0
"kfc","NJ",4.35,5.05,0.636363636363636,0.625
"kfc","NJ",4.25,5.05,0.25,0.5
"kfc","NJ",4.25,5.05,0.166666666666667,0.2
"kfc","NJ",4.6,5.05,0.0344827586206897,0.0625
"roys","NJ",4.25,5.05,0.0769230769230769,0.117647058823529
"roys","NJ",4.75,5.05,0.142857142857143,0.130434782608696
"roys","NJ",4.75,5.05,0.1,0.324324324324324
"wendys","NJ",4.25,5.3,0,0
"wendys","NJ",4.5,5.05,0.0952380952380952,0.366666666666667
"burgerking","NJ",4.5,5.5,0.0697674418604651,0.666666666666667
"burgerking","NJ",4.25,5.05,0,0.46875
"burgerking","NJ",4.75,5.05,0.75,0.642857142857143
"burgerking","NJ",4.65,5.05,0.730769230769231,0.681818181818182
"burgerking","NJ",4.25,5.05,0.521739130434783,0.346153846153846
"kfc","NJ",4.75,5.05,0,0.625
"kfc","NJ",4.25,5.05,0.789473684210526,0
"roys","NJ",4.5,5.05,0.21875,0.241379310344828
"roys","NJ",4.25,5.05,0.285714285714286,0.571428571428571
"wendys","NJ",4.5,5.05,0,0
"wendys","NJ",4.75,5.05,0.333333333333333,0.416666666666667
"burgerking","NJ",4.37,5.05,0.5,0.454545454545455
"kfc","NJ",4.5,5.05,0.2,0.333333333333333
"roys","NJ",4.87,5.05,0.5,0.333333333333333
"burgerking","NJ",4.25,5.05,0.153846153846154,0.526315789473684
"burgerking","NJ",4.25,5.05,0.333333333333333,0.133333333333333
"burgerking","NJ",4.25,5.05,0.35,0
"burgerking","NJ",4.25,5.05,0,0
"burgerking","NJ",4.25,5.05,0.245283018867925,0.545454545454545
"kfc","NJ",4.45,5.05,0.166666666666667,0.769230769230769
"kfc","NJ",4.62,5.05,0.125,0.153846153846154
"kfc","NJ",4.25,5.05,0.5,0.111111111111111
"kfc","NJ",4.25,5.05,0.117647058823529,0.0666666666666667
"kfc","NJ",4.25,5.05,0.428571428571429,0
"roys","NJ",4.5,5.05,0.178571428571429,0.333333333333333
"roys","NJ",4.75,5.05,0.107142857142857,0.166666666666667
"roys","NJ",4.75,5.05,0.0625,0.117647058823529
"roys","NJ",4.5,5.05,0.142857142857143,0.117647058823529
"roys","NJ",4.75,5.05,0,0.357142857142857
"roys","NJ",4.25,5.05,0.142857142857143,0.230769230769231
"wendys","NJ",4.75,5.05,0.4,0
"wendys","NJ",4.55,5.1,0.166666666666667,0.238095238095238
"wendys","NJ",4.8,5.05,0.4,0.576923076923077
"burgerking","NJ",4.25,5.05,0.375,0.333333333333333
"roys","NJ",4.35,5.05,0.222222222222222,0.25531914893617
"roys","NJ",4.5,5.05,0.333333333333333,0.4
"roys","NJ",4.39,5.05,0,0.185185185185185
"roys","NJ",4.25,5.2,0.5,0.5
"wendys","NJ",4.25,5.05,0,0.115384615384615
"burgerking","NJ",4.25,5.05,0.4,0.6
"burgerking","NJ",4.5,5.05,0.55,0
"burgerking","NJ",4.62,5.25,0.4,0.714285714285714
"burgerking","NJ",4.62,5.05,0.5,0.461538461538462
"burgerking","NJ",4.25,5.05,0,1
"kfc","NJ",4.75,5.05,0.416666666666667,0.538461538461538
"kfc","NJ",4.62,5.05,0,0.846153846153846
"roys","NJ",4.75,5.05,0.380952380952381,0.705882352941177
"roys","NJ",4.5,5.05,0.210526315789474,0.0625
"burgerking","NJ",4.25,5.05,0.108108108108108,0.130434782608696
"burgerking","NJ",4.5,5.05,0.7,0.333333333333333
"burgerking","NJ",4.87,5.05,0.144927536231884,0.833333333333333
"burgerking","NJ",4.25,5.05,0.75,0.357142857142857
"burgerking","NJ",4.25,5.05,0.166666666666667,0.46875
"kfc","NJ",4.62,5.05,0.222222222222222,0.3
"kfc","NJ",4.75,5.05,0.625,0.266666666666667
"roys","NJ",4.75,5.05,0.470588235294118,0.2
"roys","NJ",4.25,5.05,0.0677966101694915,0.333333333333333
"burgerking","NJ",4.25,5.05,0,0
"burgerking","NJ",4.25,5.05,0.107142857142857,0.135135135135135
"burgerking","NJ",4.25,5.05,0.315789473684211,0.148148148148148
"kfc","NJ",4.25,5.05,0.315789473684211,0.857142857142857
"kfc","NJ",4.25,5.2,0,0.666666666666667
"kfc","NJ",4.25,5.05,0.148936170212766,0.032258064516129
"roys","NJ",4.5,5.05,0.105263157894737,0.05
"wendys","NJ",4.25,5.05,0,0
"burgerking","NJ",4.85,5.05,0.634920634920635,0.838709677419355
"burgerking","NJ",4.5,5.05,0.285714285714286,0
"burgerking","NJ",4.25,5.05,0.666666666666667,0.478260869565217
"burgerking","NJ",4.62,5.05,0.625,0.823529411764706
"burgerking","NJ",4.5,5.05,0.4,0.517241379310345
"burgerking","NJ",4.5,5.05,0.6,0.777777777777778
"burgerking","NJ",4.25,5.05,0.533333333333333,0.517241379310345
"burgerking","NJ",4.25,5.05,0,0.583333333333333
"kfc","NJ",4.25,5.05,0.75,0.631578947368421
"kfc","NJ",4.62,5.25,0.285714285714286,0.818181818181818
"roys","NJ",4.87,5.4,0.6,0.210526315789474
"roys","NJ",4.25,5.05,0.125,0.285714285714286
"roys","NJ",4.75,5.05,0.518518518518518,0.625
"roys","NJ",4.87,5.05,0.619047619047619,0.5
"roys","NJ",4.5,5.05,0.516129032258065,0.25
"roys","NJ",4.25,5.05,0.571428571428571,0.15625
"roys","NJ",4.75,5.05,0.523809523809524,0.772727272727273
"roys","NJ",4.32,5.05,0.260869565217391,0.0909090909090909
"burgerking","NJ",4.25,5.05,0,0
"burgerking","NJ",4.5,5.05,0,0.1
"kfc","NJ",4.5,5.05,0,0
"burgerking","NJ",4.25,5.05,0,0
"burgerking","NJ",4.25,5.05,0,0.590909090909091
"burgerking","NJ",4.25,5.05,0.2,0
"burgerking","NJ",4.25,5.05,0.125,0.433333333333333
"burgerking","NJ",4.25,5.05,0.666666666666667,0
"kfc","NJ",4.25,5.05,0.230769230769231,0.5
