"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2"
29,0,0,1,0,"African American",1,0,3,29
59,1,1,0,1,"African American",1,100,97,86
35,1,1,1,1,"African American",1,50,100,100
63,1,1,1,1,"African American",1,50,50,50
65,0,1,1,1,"African American",0,50,50,50
51,1,1,1,0,"Caucasian",0,47,30,50
26,1,1,1,0,"African American",1,74,50,50
51,1,1,1,0,"Caucasian",0,50,50,50
53,1,0,1,1,"Caucasian",0,100,50,100
66,1,1,1,1,"Hispanic",1,64,89,84
64,1,1,1,0,"African American",1,36,30,36
57,1,1,1,0,"Caucasian",1,80,59,57
61,0,1,0,0,"Hispanic",0,50,50,50
50,1,1,1,1,"African American",1,50,81,71
58,1,0,1,0,"African American",1,50,50,50
23,1,0,0,1,"Caucasian",0,100,100,100
40,1,0,0,1,"Caucasian",0,100,100,100
68,1,0,1,1,"Caucasian",0,100,100,99
28,1,0,1,1,"African American",0,14,19,27
58,1,1,0,0,"African American",1,50,50,50
22,0,1,0,0,"African American",0,50,50,50
31,0,0,0,0,"Hispanic",0,50,50,50
17,0,0,0,0,"Hispanic",0,50,50,50
40,0,1,1,0,"Hispanic",1,60,50,50
25,1,0,1,0,"African American",1,50,50,50
58,1,1,1,1,"Caucasian",0,44,50,47
57,0,1,1,1,"Caucasian",0,50,50,50
31,1,0,1,1,"African American",1,52,78,96
65,0,0,0,1,"African American",1,66,55,50
65,1,1,1,1,"African American",0,41,65,75
55,1,1,1,1,"Caucasian",1,68,77,70
74,0,1,1,1,"African American",1,63,81,70
33,1,0,0,1,"African American",0,0,0,0
17,1,0,0,1,"African American",1,0,0,14
48,1,1,1,1,"African American",0,50,50,55
81,1,1,1,1,"African American",1,0,50,65
46,1,1,1,1,"African American",0,95,100,86
42,0,0,0,0,"African American",1,50,50,50
19,0,0,0,0,"Hispanic",0,50,50,50
43,1,1,1,1,"Hispanic",0,50,50,61
57,1,1,1,0,"African American",1,0,1,3
57,1,1,1,1,"Caucasian",0,50,84,80
45,1,0,1,1,"African American",1,0,0,0
58,0,1,1,1,"African American",1,2,14,0
42,1,1,1,1,"African American",1,98,91,78
69,0,1,1,0,"Caucasian",1,100,95,97
49,1,1,1,0,"African American",1,0,0,0
31,1,0,0,1,"African American",1,50,84,50
50,1,1,1,0,"African American",1,85,50,4
36,1,1,1,1,"African American",1,50,50,50
50,0,1,1,0,"Caucasian",1,50,55,70
59,0,1,1,1,"Caucasian",0,100,87,100
56,1,1,1,1,"Caucasian",1,50,84,81
27,1,0,0,0,"Caucasian",1,18,32,92
38,0,1,1,1,"African American",0,50,50,50
38,1,1,1,1,"Hispanic",0,50,50,21
43,1,1,1,1,"African American",1,50,100,100
44,0,1,1,1,"African American",1,9,24,16
23,0,1,1,0,"African American",1,0,50,0
37,1,1,1,0,"African American",1,50,50,50
19,1,0,0,1,"African American",1,49,50,50
77,1,1,1,1,"African American",1,0,50,50
62,0,1,1,1,"African American",1,50,63,50
75,1,1,1,0,"African American",1,50,36,63
56,1,1,1,0,"African American",1,37,50,81
26,0,0,1,1,"African American",1,0,12,50
30,0,0,1,1,"African American",1,61,78,81
18,1,0,0,0,"African American",1,100,100,50
42,1,0,1,0,"Hispanic",1,100,100,86
72,0,1,1,0,"African American",1,50,53,94
60,1,1,1,0,"African American",1,50,75,50
66,1,1,1,0,"African American",1,48,34,50
22,0,1,0,0,"African American",1,67,100,100
60,1,1,1,0,"African American",1,79,100,100
39,1,0,1,0,"African American",1,27,55,100
24,1,1,1,0,"African American",1,0,0,0
68,0,1,0,1,"Hispanic",0,81,93,82
68,1,1,1,0,"Hispanic",1,50,89,76
59,0,1,1,0,"Caucasian",1,81,50,73
56,1,1,1,0,"Caucasian",1,72,100,100
46,1,0,1,0,"African American",1,50,50,55
60,1,1,1,1,"Hispanic",0,50,56,50
67,0,1,1,1,"Caucasian",1,50,50,50
43,1,0,1,0,"Hispanic",0,50,67,73
45,0,0,1,0,"Hispanic",0,50,50,50
33,0,1,1,1,"Caucasian",0,50,50,50
19,0,0,0,0,"Hispanic",0,0,50,40
39,1,0,0,1,"African American",1,32,50,50
36,1,0,0,1,"African American",1,2,4,0
37,1,0,1,0,"Caucasian",0,50,45,48
62,0,1,1,1,"Hispanic",1,50,60,50
42,1,1,1,0,"African American",1,50,51,50
51,0,1,1,0,"African American",1,13,0,0
43,0,0,1,1,"African American",0,44,52,52
45,1,0,1,1,"African American",1,50,50,50
60,1,1,1,1,"Caucasian",1,100,96,99
53,1,1,1,1,"African American",1,50,99,50
67,0,1,1,0,"Caucasian",0,100,50,50
54,1,1,1,0,"Caucasian",0,96,96,96
52,1,1,1,0,"African American",1,50,70,50
64,1,1,1,0,"Caucasian",1,50,50,50
24,1,0,1,0,"African American",1,86,100,100
46,1,1,1,0,"African American",1,50,55,75
51,0,1,1,0,"African American",1,0,100,50
56,1,1,1,1,"African American",1,50,50,50
25,1,0,1,0,"Hispanic",0,85,50,100
55,1,0,1,0,"Hispanic",1,0,0,50
59,1,1,1,1,"Caucasian",0,50,50,50
71,0,0,1,0,"Hispanic",1,50,50,50
66,1,0,1,0,"Hispanic",0,50,50,50
46,1,0,0,1,"Hispanic",0,50,50,50
41,0,0,0,1,"Hispanic",1,50,50,50
47,0,1,1,0,"African American",1,50,50,50
34,0,1,1,1,"Caucasian",0,80,86,80
36,1,1,1,1,"Caucasian",0,74,85,100
24,0,0,1,1,"African American",1,0,0,0
52,1,0,0,1,"Hispanic",1,27,50,26
46,0,0,1,1,"Caucasian",1,0,50,50
39,1,0,1,1,"Hispanic",1,58,61,87
42,1,0,1,0,"Hispanic",0,50,66,77
56,0,1,1,1,"Caucasian",0,50,65,70
77,0,1,1,1,"Caucasian",0,50,80,50
55,0,1,1,1,"Hispanic",0,100,83,71
72,1,1,1,1,"African American",1,0,21,50
26,0,0,0,1,"Hispanic",0,94,100,85
53,0,0,0,1,"Caucasian",0,0,0,0
71,1,0,0,0,"African American",1,50,50,0
27,0,0,1,0,"African American",0,50,50,50
30,1,1,1,0,"African American",1,50,0,25
60,0,0,0,1,"Caucasian",1,100,100,100
59,0,1,1,1,"Caucasian",0,50,60,54
80,1,1,1,0,"Caucasian",1,7,0,50
53,0,1,1,0,"Caucasian",1,50,41,49
48,1,1,1,0,"Caucasian",0,50,49,50
24,0,0,0,0,"African American",1,22,20,34
30,0,0,0,0,"African American",1,20,36,50
62,1,0,1,0,"African American",1,50,50,50
54,1,0,1,0,"Hispanic",1,50,50,57
59,0,1,1,0,"Hispanic",0,50,50,50
56,1,1,1,0,"Hispanic",1,35,20,25
24,1,1,1,0,"Hispanic",1,90,90,80
35,1,1,1,0,"Hispanic",1,84,86,58
19,0,0,0,1,"Caucasian",0,50,100,70
42,0,1,1,0,"Hispanic",0,73,88,60
58,1,1,1,0,"Caucasian",0,76,80,72
80,0,1,1,0,"Caucasian",1,62,100,76
69,1,1,1,0,"Caucasian",1,88,65,91
53,1,0,1,0,"Caucasian",0,46,48,50
56,0,1,1,0,"Caucasian",1,80,50,62
44,1,1,0,1,"African American",1,88,50,50
18,1,1,0,0,"Hispanic",0,50,50,50
46,1,1,1,0,"Hispanic",1,50,76,50
42,1,0,0,0,"Hispanic",1,0,50,50
37,0,0,0,1,"Hispanic",0,50,27,50
83,0,0,0,1,"Hispanic",0,0,0,0
77,0,1,1,0,"Caucasian",0,0,0,50
66,1,0,1,0,"Hispanic",0,0,0,0
64,0,1,1,0,"Caucasian",1,50,50,50
76,1,1,1,0,"Caucasian",1,50,50,50
72,1,1,1,0,"Hispanic",1,94,50,65
40,1,0,0,0,"Hispanic",1,50,50,50
55,0,0,1,1,"African American",1,50,50,50
47,1,1,1,0,"Caucasian",0,50,50,50
68,1,0,1,1,"Hispanic",1,50,30,63
69,1,0,1,1,"Caucasian",1,50,50,100
51,0,1,1,0,"Hispanic",0,0,15,6
72,0,1,0,0,"Caucasian",1,0,25,30
59,1,0,1,0,"Caucasian",0,100,84,100
69,0,1,1,1,"Hispanic",0,0,0,0
66,1,1,1,1,"Hispanic",0,50,0,23
64,1,1,1,0,"Caucasian",1,50,85,60
47,0,1,1,0,"Hispanic",1,50,50,50
41,0,0,0,1,"Caucasian",0,16,50,23
38,1,1,1,1,"African American",1,0,75,10
43,0,1,1,1,"Caucasian",1,100,100,100
43,1,1,1,1,"Caucasian",1,77,99,78
43,1,1,1,1,"Caucasian",1,100,99,50
30,0,1,1,0,"Hispanic",0,71,50,84
28,1,1,1,0,"Hispanic",0,50,76,95
36,0,1,1,1,"Hispanic",1,50,65,80
61,1,1,1,1,"Caucasian",0,100,82,93
80,0,1,0,1,"Caucasian",0,50,50,50
37,1,1,1,1,"Hispanic",1,100,100,95
47,1,1,1,0,"Hispanic",0,100,100,100
47,0,1,1,0,"Caucasian",0,74,50,100
55,1,1,1,0,"Caucasian",0,40,50,50
68,0,1,1,1,"Caucasian",0,0,5,50
49,1,1,1,1,"African American",1,84,96,97
26,0,0,1,1,"African American",1,91,100,100
20,1,0,1,1,"African American",1,100,100,100
41,0,0,1,0,"African American",1,100,100,100
24,0,0,0,0,"Hispanic",1,79,51,71
47,1,1,1,0,"African American",1,50,97,91
30,1,0,1,1,"Caucasian",0,0,49,22
23,0,0,1,0,"Hispanic",0,45,51,50
20,1,0,0,0,"Hispanic",0,85,68,74
56,1,0,1,0,"Caucasian",1,50,50,50
25,1,0,0,1,"Hispanic",1,100,96,50
19,0,1,0,1,"Hispanic",0,80,79,80
48,1,1,1,0,"African American",1,50,50,80
28,1,1,1,0,"African American",1,50,50,50
53,1,1,1,0,"African American",1,50,100,100
58,1,1,1,1,"Hispanic",0,0,100,50
40,1,1,1,0,"Hispanic",0,50,50,50
41,0,1,1,0,"Hispanic",0,100,51,69
68,1,1,1,0,"Hispanic",0,100,64,50
56,1,1,1,1,"African American",1,50,50,56
50,0,1,1,0,"Caucasian",1,50,50,50
51,0,1,1,0,"Hispanic",0,50,50,50
41,1,1,1,0,"Caucasian",0,5,37,50
19,1,0,0,0,"Caucasian",0,45,50,46
23,0,0,1,0,"African American",1,50,23,27
70,0,1,1,0,"African American",1,50,93,21
51,1,1,1,0,"African American",1,50,20,18
32,0,0,1,1,"African American",1,50,50,50
71,0,1,1,0,"Caucasian",1,82,50,75
37,0,1,1,1,"African American",1,43,73,69
49,0,1,1,0,"African American",1,90,61,60
45,1,0,0,1,"Hispanic",0,0,0,0
52,1,1,1,1,"African American",1,70,85,92
20,0,0,0,1,"African American",1,100,50,83
73,0,1,1,1,"African American",1,86,50,0
37,1,1,1,1,"African American",1,50,22,50
19,0,0,0,1,"African American",0,50,27,8
25,0,1,1,1,"African American",1,50,100,100
48,0,0,1,1,"Caucasian",1,50,50,53
57,1,0,1,1,"Caucasian",1,50,50,50
58,1,1,1,0,"African American",1,51,50,50
21,1,0,1,0,"African American",0,50,86,50
