"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
19,1,1,0,0,"African American",0,50,NA,NA,NA,NA,75,NA,NA,NA
58,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
29,0,0,1,0,"African American",1,0,3,29,5,NA,83,71,50,NA
59,1,1,0,1,"African American",1,100,97,86,62,NA,100,100,100,NA
35,1,1,1,1,"African American",1,50,100,100,100,99,100,100,100,94
51,1,1,1,1,"African American",1,50,NA,NA,NA,NA,95,NA,NA,NA
72,1,1,1,0,"African American",0,50,NA,NA,NA,NA,100,NA,NA,NA
63,1,1,1,1,"African American",1,50,50,50,50,50,100,100,50,100
65,0,1,1,1,"African American",0,50,50,50,49,NA,100,100,100,NA
51,1,1,1,0,"Caucasian",0,47,30,50,50,50,0,0,9,0
18,0,0,0,0,"Hispanic",0,54,NA,NA,NA,NA,100,NA,NA,NA
26,1,1,1,0,"African American",1,74,50,50,50,50,75,74,50,77
45,1,0,1,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
18,1,0,0,0,"Hispanic",1,100,NA,NA,NA,NA,100,NA,NA,NA
62,1,1,1,1,"African American",1,76,84,NA,72,62,100,100,NA,50
20,0,1,0,1,"African American",1,50,50,NA,NA,50,100,100,NA,50
51,1,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
41,1,1,1,1,"Caucasian",0,100,NA,NA,NA,NA,89,NA,NA,NA
41,0,1,1,1,"Hispanic",0,100,NA,NA,NA,NA,77,NA,NA,NA
39,0,1,1,1,"African American",1,100,NA,NA,NA,NA,100,NA,NA,NA
68,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
72,0,1,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
37,0,1,1,0,"Caucasian",0,50,NA,NA,50,NA,0,NA,NA,NA
17,1,0,0,0,"African American",1,66,NA,NA,NA,NA,88,NA,NA,NA
51,1,1,1,0,"Caucasian",0,50,50,50,50,78,7,23,30,50
56,1,1,1,1,"African American",1,51,NA,NA,NA,NA,100,NA,NA,NA
26,0,1,1,0,"African American",1,25,NA,NA,NA,NA,100,NA,NA,NA
69,1,1,1,0,"African American",1,60,NA,NA,NA,NA,100,NA,NA,NA
68,0,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
55,0,0,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
34,1,0,1,1,"African American",1,87,NA,NA,NA,NA,100,NA,NA,NA
37,1,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,100,NA,NA,NA
40,1,1,1,1,"African American",1,54,NA,NA,NA,NA,100,NA,NA,NA
30,1,1,1,1,"African American",1,77,NA,NA,NA,NA,100,NA,NA,NA
70,0,1,1,0,"African American",1,50,NA,NA,NA,NA,97,NA,NA,NA
53,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
44,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
36,1,1,1,1,"African American",1,50,NA,NA,NA,NA,97,NA,NA,NA
61,1,1,1,1,"African American",1,50,NA,NA,NA,NA,91,NA,NA,NA
68,0,1,1,1,"African American",1,41,NA,NA,NA,NA,100,NA,NA,NA
31,1,1,1,0,"African American",0,50,NA,NA,NA,NA,70,NA,NA,NA
52,1,1,1,1,"African American",1,50,NA,NA,NA,NA,74,NA,NA,NA
46,1,0,0,0,"African American",0,0,NA,NA,NA,NA,0,NA,NA,NA
37,1,0,0,0,"African American",1,0,NA,NA,NA,NA,3,NA,NA,NA
66,1,0,1,0,"African American",0,0,NA,NA,NA,NA,0,NA,NA,NA
35,1,0,0,1,"Caucasian",0,84,NA,NA,NA,NA,81,NA,NA,NA
76,0,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,50,NA,NA,NA
26,1,0,1,1,"Hispanic",0,50,NA,NA,NA,NA,9,NA,NA,NA
21,1,0,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
24,0,0,1,1,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
69,1,1,1,1,"African American",1,11,NA,NA,NA,NA,100,NA,NA,NA
79,0,1,1,0,"Caucasian",0,50,NA,NA,NA,NA,50,NA,NA,NA
58,0,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
31,0,0,1,0,"African American",0,50,NA,NA,NA,NA,90,NA,NA,NA
27,1,1,1,1,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
46,0,0,1,1,"African American",1,8,NA,NA,NA,NA,100,NA,NA,NA
51,1,0,1,0,"Hispanic",1,92,NA,NA,NA,NA,60,NA,NA,NA
83,1,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,22,NA,NA,NA
53,1,0,1,1,"Caucasian",0,100,50,100,50,100,95,50,70,76
48,0,1,1,0,"Hispanic",0,0,NA,NA,NA,NA,50,NA,NA,NA
30,1,1,1,0,"Hispanic",0,21,NA,NA,NA,NA,50,NA,NA,NA
19,1,1,0,1,"Caucasian",0,100,NA,NA,NA,NA,70,NA,NA,NA
66,1,1,1,1,"Hispanic",1,64,89,84,70,50,88,94,87,50
54,1,0,1,0,"Hispanic",0,50,NA,NA,NA,NA,70,NA,NA,NA
35,1,0,1,1,"African American",0,0,NA,NA,NA,NA,0,NA,NA,NA
64,1,1,1,0,"African American",1,36,30,36,40,50,100,100,100,100
57,1,1,1,0,"Caucasian",1,80,59,57,50,75,83,50,84,50
31,0,0,1,0,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
70,0,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
39,1,0,1,0,"African American",1,50,NA,NA,NA,70,80,NA,NA,50
61,0,1,0,0,"Hispanic",0,50,50,50,50,54,9,50,11,0
46,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
57,1,0,1,1,"African American",1,50,NA,50,NA,NA,0,NA,50,NA
82,1,1,1,1,"Hispanic",1,50,50,NA,NA,NA,28,50,NA,NA
72,1,1,1,0,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
75,0,1,1,0,"African American",1,50,NA,NA,NA,27,50,NA,NA,50
